train_loss,epoch,step,val_loss
0.44981592893600464,0,49,
0.3772522211074829,0,99,
0.3708186447620392,0,149,
0.29643315076828003,0,199,
0.23321649432182312,0,249,
0.26776763796806335,0,299,
0.35004112124443054,0,349,
0.23430845141410828,0,399,
0.39549005031585693,0,449,
0.26381635665893555,0,499,
0.20979967713356018,0,549,
0.27170121669769287,0,599,
0.2740821838378906,0,649,
0.23315924406051636,0,699,
0.24812951683998108,0,749,
0.193573996424675,0,799,
0.24897000193595886,0,849,
0.20632880926132202,0,899,
0.3102889060974121,0,949,
0.20900186896324158,0,999,
0.2555663287639618,0,1049,
0.2299925982952118,0,1099,
0.3346346616744995,0,1149,
0.23621660470962524,0,1199,
0.21054786443710327,0,1249,
0.1586865484714508,0,1299,
0.2319248765707016,0,1349,
0.2080843150615692,0,1399,
0.19504263997077942,0,1449,
0.2056785225868225,0,1499,
0.23878277838230133,0,1549,
0.1553717851638794,0,1599,
0.16252106428146362,0,1649,
0.18965430557727814,0,1699,
0.2074841409921646,0,1749,
,0,1768,0.1919100135564804
0.1680528074502945,1,1799,
0.18204165995121002,1,1849,
0.1690475344657898,1,1899,
0.23119676113128662,1,1949,
0.17667922377586365,1,1999,
0.1979694366455078,1,2049,
0.22603097558021545,1,2099,
0.17557306587696075,1,2149,
0.169753760099411,1,2199,
0.21075701713562012,1,2249,
0.17076325416564941,1,2299,
0.19525310397148132,1,2349,
0.19942891597747803,1,2399,
0.18730390071868896,1,2449,
0.2650552988052368,1,2499,
0.2138279378414154,1,2549,
0.22489550709724426,1,2599,
0.1874106526374817,1,2649,
0.2042473554611206,1,2699,
0.2442847043275833,1,2749,
0.21021334826946259,1,2799,
0.19989421963691711,1,2849,
0.26797062158584595,1,2899,
0.2050268054008484,1,2949,
0.19181612133979797,1,2999,
0.14744435250759125,1,3049,
0.15155908465385437,1,3099,
0.1394249051809311,1,3149,
0.1887076199054718,1,3199,
0.15610948204994202,1,3249,
0.17128071188926697,1,3299,
0.1527990996837616,1,3349,
0.1589885950088501,1,3399,
0.1626240611076355,1,3449,
0.18492916226387024,1,3499,
,1,3537,0.19772213697433472
0.19021664559841156,2,3549,
0.2022758424282074,2,3599,
0.2927512228488922,2,3649,
0.2060663104057312,2,3699,
0.23789696395397186,2,3749,
0.1708826720714569,2,3799,
0.17850534617900848,2,3849,
0.19923126697540283,2,3899,
0.13844828307628632,2,3949,
0.1853511929512024,2,3999,
0.20485422015190125,2,4049,
0.15553535521030426,2,4099,
0.18324127793312073,2,4149,
0.18499942123889923,2,4199,
0.24758672714233398,2,4249,
0.2428360879421234,2,4299,
0.19748741388320923,2,4349,
0.1524597406387329,2,4399,
0.16864070296287537,2,4449,
0.1304762363433838,2,4499,
0.2458493709564209,2,4549,
0.1655481457710266,2,4599,
0.18478761613368988,2,4649,
0.18100671470165253,2,4699,
0.24098199605941772,2,4749,
0.1691180169582367,2,4799,
0.15780869126319885,2,4849,
0.19490835070610046,2,4899,
0.1813456416130066,2,4949,
